exposure,adjustment_set
Water_Fore,Park_ID|Functional_Area|Group
Disturb_Fore,Park_ID|Functional_Area|Group
Image_Fore,Park_ID|Functional_Area|Group
Enclose_Fore,Park_ID|Image_Fore|Functional_Area|Group
Green_Mid,Park_ID|Functional_Area|Group
Water_Mid,Park_ID|Water_Fore|Functional_Area|Group
Disturb_Mid,Park_ID|Disturb_Fore|Functional_Area|Group
Image_Mid,Park_ID|Image_Fore|Functional_Area|Group
Open_Back,Park_ID|Enclose_Fore|Water_Mid|Image_Back|Functional_Area|Group
Image_Back,Park_ID|Image_Mid|Functional_Area|Group
Disturb_Back,Park_ID|Functional_Area|Group
Vis_Bright,Park_ID|Open_Back|Enclose_Fore|Image_Fore|Image_Mid|Image_Back|Water_Fore|Water_Mid|Green_Mid|Functional_Area|Group
Vis_Contrast,Park_ID|Open_Back|Enclose_Fore|Image_Fore|Image_Mid|Image_Back|Water_Fore|Water_Mid|Green_Mid|Functional_Area|Group
Vis_Sat,Park_ID|Water_Fore|Water_Mid|Green_Mid|Image_Fore|Image_Mid|Open_Back|Functional_Area|Group
Vis_Colors,Park_ID|Water_Fore|Water_Mid|Green_Mid|Image_Fore|Image_Mid|Image_Back|Open_Back|Functional_Area|Group
Complex_Fore,Park_ID|Water_Fore|Disturb_Fore|Image_Fore|Enclose_Fore|Functional_Area|Group
Complex_Mid,Park_ID|Green_Mid|Water_Mid|Disturb_Mid|Image_Mid|Functional_Area|Group
Complex_Back,Park_ID|Open_Back|Image_Back|Disturb_Back|Functional_Area|Group
Sound_Nature,Park_ID|Water_Fore|Water_Mid|Green_Mid|Functional_Area|Group
Sound_Traffic,Park_ID|Disturb_Fore|Disturb_Mid|Disturb_Back|Image_Fore|Image_Mid|Functional_Area|Group
Sound_Quiet,Park_ID|Open_Back|Green_Mid|Functional_Area|Group
Sound_Human,Park_ID|Image_Fore|Image_Mid|Functional_Area|Group
Aud_LAeq,Park_ID|Disturb_Fore|Disturb_Mid|Disturb_Back|Enclose_Fore|Open_Back|Functional_Area|Group
Aud_Sharp,Park_ID|Sound_Nature|Sound_Traffic|Sound_Quiet|Sound_Human|Aud_LAeq|Functional_Area|Group
Aud_Rough,Park_ID|Sound_Nature|Sound_Traffic|Sound_Quiet|Sound_Human|Aud_LAeq|Functional_Area|Group
Aud_Fluc,Park_ID|Sound_Nature|Sound_Traffic|Sound_Quiet|Sound_Human|Aud_LAeq|Functional_Area|Group
